Well,SampleID,Mass/Charge,Height,Width
A01,POS_100,1192.7476,0,1.80719333333333
A01,POS_100,1856.5226,194.3937,2.81291303030303
A01,POS_100,2105.3064,123.9114,3.18985818181818
A01,POS_100,2123.626,183.6204,3.21761515151515
A01,POS_100,2280.4974,173.1957,3.45529909090909
A01,POS_100,2469.562,10095.3894,3.74176060606061
A01,POS_100,2509.5867,10354.0833,3.80240409090909
A01,POS_100,2549.6113,159.2243,3.86304742424242
A01,POS_100,2565.6106,172.3064,3.88728878787879
A01,POS_100,2581.6099,3637.3453,3.91153015151515
A01,POS_100,2699.919,206.5049,4.09078636363636
A01,POS_100,2798.9037,251.5685,4.24076318181818
A01,POS_100,2976.7988,242.3259,4.51030121212121
A01,POS_100,2993.2109,367.7638,4.53516803030303
A01,POS_100,3007.8403,197.0872,4.55733378787879
A01,POS_100,3032.8928,358.5608,4.59529212121212
A01,POS_100,3087.9569,6376.451,4.67872257575758
A01,POS_100,3168.0062,0,4.80000939393939
A01,POS_100,3184.0055,375.7425,4.82425075757576
A01,POS_100,3200.0048,4553.3119,4.84849212121212
A01,POS_100,3529.3888,189.0664,5.34755878787879
A01,POS_100,3723.3049,337.1108,5.64137106060606
A01,POS_100,3833.4194,200.8065,5.80821121212121
A01,POS_100,3858.412,192.9036,5.84607878787879
A01,POS_100,3913.2001,875.5655,5.92909106060606
A01,POS_100,4155.6354,10.7162,6.29641727272727
A01,POS_100,4171.6347,230.501,6.32065863636364
A01,POS_100,4187.634,4133.2222,6.3449
A01,POS_100,4207.3411,122.6586,6.37475924242424
A01,POS_100,4710.9952,127.299,7.13787151515152
A01,POS_100,4774.0303,71.4375,7.23337924242424
A01,POS_100,4790.0296,27.4717,7.25762060606061
A01,POS_100,4806.0289,284.0451,7.28186196969697
A01,POS_100,4822.0282,2866.998,7.30610333333333
A01,POS_100,4841.3978,201.7088,7.33545121212121
A01,POS_100,4860.4934,178.2268,7.36438393939394
A01,POS_100,4938.598,267.1173,7.48272424242424
A01,POS_100,4960.762,115.2832,7.51630606060606
A01,POS_100,4978.6702,537.1353,7.5434396969697
A01,POS_100,5001.0779,113.7511,7.57739075757576
A01,POS_100,5018.1453,265.0726,7.60325045454545
A01,POS_100,5090.8254,164.9882,7.71337181818182
A01,POS_100,5312.376,0,8.04905454545455
A01,POS_100,5328.3753,13.5616,8.07329590909091
A01,POS_100,5344.3746,290.9733,8.09753727272727
A01,POS_100,5360.3739,2859.3786,8.12177863636364
A01,POS_100,5557.7586,205.1255,8.42084636363636
A01,POS_100,5597.5431,271.7386,8.48112590909091
A01,POS_100,5670.2099,134.755,8.59122712121212
A01,POS_100,5710.6636,120.0697,8.65252060606061
A01,POS_100,5781.959,97.9004,8.76054393939394
A01,POS_100,5885.5831,87.8625,8.91755015151515
A01,POS_100,6985.7383,252.6788,10.584451969697
A02,18-330-147678,1192.7476,0,1.80719333333333
A02,18-330-147678,1251.4899,18.6842,1.89619681818182
A02,18-330-147678,1770.8272,131.342,2.68307151515152
A02,18-330-147678,1970.9637,285.4541,2.98630863636364
A02,18-330-147678,2123.6432,168.6997,3.21764121212121
A02,18-330-147678,2280.5334,153.365,3.45535363636364
A02,18-330-147678,2451.5067,53.7644,3.71440409090909
A02,18-330-147678,2469.562,5420.6442,3.74176060606061
A02,18-330-147678,2490.5288,228.6887,3.77352848484849
A02,18-330-147678,2509.5867,6501.4161,3.80240409090909
A02,18-330-147678,2528.6309,153.7196,3.83125893939394
A02,18-330-147678,2549.6113,4310.1396,3.86304742424242
A02,18-330-147678,2565.6106,142.5501,3.88728878787879
A02,18-330-147678,2581.6099,0,3.91153015151515
A02,18-330-147678,2698.7956,203.7778,4.08908424242424
A02,18-330-147678,2739.8571,117.6423,4.15129863636364
A02,18-330-147678,2819.6277,144.4116,4.27216318181818
A02,18-330-147678,2839.2895,202.0432,4.30195378787879
A02,18-330-147678,2976.8723,192.1758,4.51041257575758
A02,18-330-147678,2993.3129,260.9608,4.53532257575758
A02,18-330-147678,3033.1733,323.9656,4.59571712121212
A02,18-330-147678,3073.2528,244.4112,4.65644363636364
A02,18-330-147678,3087.9569,3701.1949,4.67872257575758
A02,18-330-147678,3168.0062,5905.0147,4.80000939393939
A02,18-330-147678,3184.0055,324.528,4.82425075757576
A02,18-330-147678,3200.0048,28.0013,4.84849212121212
A02,18-330-147678,3276.2798,109.527,4.9640603030303
A02,18-330-147678,3356.6075,169.9338,5.08576893939394
A02,18-330-147678,3496.1265,253.1078,5.29716136363636
A02,18-330-147678,3611.5399,141.5533,5.47203015151515
A02,18-330-147678,3691.3658,146.5113,5.59297848484848
A02,18-330-147678,3830.196,42.2616,5.80332727272727
A02,18-330-147678,3913.2001,893.9094,5.92909106060606
A02,18-330-147678,4155.6354,3758.1792,6.29641727272727
A02,18-330-147678,4171.6347,249.1228,6.32065863636364
A02,18-330-147678,4187.634,61.857,6.3449
A02,18-330-147678,4344.151,141.489,6.58204696969697
A02,18-330-147678,4485.6209,133.2545,6.7963953030303
A02,18-330-147678,4679.9058,84.8745,7.09076636363636
A02,18-330-147678,4774.0303,3159.5499,7.23337924242424
A02,18-330-147678,4790.0296,139.4589,7.25762060606061
A02,18-330-147678,4806.0289,89.0864,7.28186196969697
A02,18-330-147678,4822.0282,48.8104,7.30610333333333
A02,18-330-147678,4939.2919,85.0498,7.48377560606061
A02,18-330-147678,4962.7931,95.0931,7.51938348484848
A02,18-330-147678,4978.9053,195.3598,7.54379590909091
A02,18-330-147678,5018.8514,279.075,7.6043203030303
A02,18-330-147678,5058.4419,231.8622,7.66430590909091
A02,18-330-147678,5098.3597,103.3779,7.72478742424242
A02,18-330-147678,5298.9607,135.1645,8.02872833333333
